"Infection","age","year","Species"
1.2,"18-24",2014,"Escherichia"
1,"18-24",2015,"Escherichia"
1.2,"18-24",2016,"Escherichia"
0.9,"18-24",2017,"Escherichia"
0.5,"25-44",2008,"Escherichia"
0.4,"25-44",2009,"Escherichia"
0.5,"25-44",2010,"Escherichia"
0.5,"25-44",2011,"Escherichia"
0.6,"25-44",2012,"Escherichia"
0.6,"25-44",2013,"Escherichia"
0.5,"25-44",2014,"Escherichia"
0.6,"25-44",2015,"Escherichia"
0.6,"25-44",2016,"Escherichia"
0.5,"25-44",2017,"Escherichia"
0.6,"45-54",2008,"Escherichia"
0.4,"45-54",2009,"Escherichia"
0.4,"45-54",2010,"Escherichia"
0.4,"45-54",2011,"Escherichia"
0.4,"45-54",2012,"Escherichia"
0.4,"45-54",2013,"Escherichia"
0.3,"45-54",2014,"Escherichia"
0.3,"45-54",2015,"Escherichia"
0.4,"45-54",2016,"Escherichia"
0.3,"45-54",2017,"Escherichia"
0.6,"55-64",2008,"Escherichia"
0.5,"55-64",2009,"Escherichia"
0.4,"55-64",2010,"Escherichia"
0.7,"55-64",2011,"Escherichia"
0.4,"55-64",2012,"Escherichia"
0.6,"55-64",2013,"Escherichia"
0.5,"55-64",2014,"Escherichia"
0.4,"55-64",2015,"Escherichia"
0.3,"55-64",2016,"Escherichia"
0.5,"55-64",2017,"Escherichia"
0.9,"65-74",2008,"Escherichia"
0.6,"65-74",2009,"Escherichia"
0.7,"65-74",2010,"Escherichia"
0.8,"65-74",2011,"Escherichia"
0.6,"65-74",2012,"Escherichia"
0.7,"65-74",2013,"Escherichia"
0.7,"65-74",2014,"Escherichia"
0.5,"65-74",2015,"Escherichia"
0.7,"65-74",2016,"Escherichia"
0.8,"65-74",2017,"Escherichia"
1,"75-84",2008,"Escherichia"
0.5,"75-84",2009,"Escherichia"
1.2,"75-84",2010,"Escherichia"
0.9,"75-84",2011,"Escherichia"
0.9,"75-84",2012,"Escherichia"
0.8,"75-84",2013,"Escherichia"
0.5,"75-84",2014,"Escherichia"
0.5,"75-84",2015,"Escherichia"
0.8,"75-84",2016,"Escherichia"
0.6,"75-84",2017,"Escherichia"
0.6,"85+",2008,"Escherichia"
0.3,"85+",2009,"Escherichia"
0.4,"85+",2010,"Escherichia"
1.1,"85+",2011,"Escherichia"
0.8,"85+",2012,"Escherichia"
0.5,"85+",2013,"Escherichia"
0.2,"85+",2014,"Escherichia"
0.5,"85+",2015,"Escherichia"
0.8,"85+",2016,"Escherichia"
0.6,"85+",2017,"Escherichia"
61,"0-4",2008,"Salmonella"
65.8,"0-4",2009,"Salmonella"
73.8,"0-4",2010,"Salmonella"
68.6,"0-4",2011,"Salmonella"
65.2,"0-4",2012,"Salmonella"
62.9,"0-4",2013,"Salmonella"
58,"0-4",2014,"Salmonella"
56.4,"0-4",2015,"Salmonella"
54.6,"0-4",2016,"Salmonella"
50.8,"0-4",2017,"Salmonella"
16.9,"5-11",2008,"Salmonella"
17.7,"5-11",2009,"Salmonella"
19.1,"5-11",2010,"Salmonella"
18.8,"5-11",2011,"Salmonella"
17.3,"5-11",2012,"Salmonella"
16.8,"5-11",2013,"Salmonella"
16.4,"5-11",2014,"Salmonella"
16,"5-11",2015,"Salmonella"
15.2,"5-11",2016,"Salmonella"
13.5,"5-11",2017,"Salmonella"
10.7,"12-17",2008,"Salmonella"
10.1,"12-17",2009,"Salmonella"
12.2,"12-17",2010,"Salmonella"
11,"12-17",2011,"Salmonella"
10.5,"12-17",2012,"Salmonella"
9.8,"12-17",2013,"Salmonella"
11.5,"12-17",2014,"Salmonella"
10.9,"12-17",2015,"Salmonella"
9,"12-17",2016,"Salmonella"
9.6,"12-17",2017,"Salmonella"
11.5,"18-24",2008,"Salmonella"
10.6,"18-24",2009,"Salmonella"
12.8,"18-24",2010,"Salmonella"
13.3,"18-24",2011,"Salmonella"
11.9,"18-24",2012,"Salmonella"
12.1,"18-24",2013,"Salmonella"
11.8,"18-24",2014,"Salmonella"
13.2,"18-24",2015,"Salmonella"
12,"18-24",2016,"Salmonella"
11.3,"18-24",2017,"Salmonella"
10.5,"25-44",2008,"Salmonella"
9.9,"25-44",2009,"Salmonella"
11.7,"25-44",2010,"Salmonella"
10.8,"25-44",2011,"Salmonella"
11.6,"25-44",2012,"Salmonella"
10.5,"25-44",2013,"Salmonella"
10.6,"25-44",2014,"Salmonella"
12,"25-44",2015,"Salmonella"
11.4,"25-44",2016,"Salmonella"
11,"25-44",2017,"Salmonella"
10.1,"45-54",2008,"Salmonella"
10.5,"45-54",2009,"Salmonella"
12.3,"45-54",2010,"Salmonella"
11.7,"45-54",2011,"Salmonella"
12.2,"45-54",2012,"Salmonella"
11.4,"45-54",2013,"Salmonella"
11.8,"45-54",2014,"Salmonella"
11.8,"45-54",2015,"Salmonella"
13,"45-54",2016,"Salmonella"
11.9,"45-54",2017,"Salmonella"
10.5,"55-64",2008,"Salmonella"
10.8,"55-64",2009,"Salmonella"
13.5,"55-64",2010,"Salmonella"
12.3,"55-64",2011,"Salmonella"
