"time","count","year"
20071113,7,2007
20071114,2,2007
20071115,4,2007
20071116,11,2007
20071117,4,2007
20071118,1,2007
20071119,2,2007
20071120,5,2007
20071121,1,2007
20071122,3,2007
20071123,2,2007
20071124,5,2007
20071125,5,2007
20071126,3,2007
20071127,5,2007
20071128,7,2007
20071129,12,2007
20071130,5,2007
20071201,15,2007
20071202,4,2007
20071203,4,2007
20071204,1,2007
20071205,1,2007
20071206,1,2007
20071207,4,2007
20071208,2,2007
20071209,1,2007
20071210,7,2007
20071211,4,2007
20071212,8,2007
20071213,5,2007
20071216,5,2007
20071217,4,2007
20071218,5,2007
20071219,2,2007
20071220,5,2007
20071221,2,2007
20071222,4,2007
20071223,6,2007
20071224,5,2007
20071225,5,2007
20071226,9,2007
20071227,3,2007
20071228,1,2007
20071229,1,2007
20071230,2,2007
20071231,6,2007
20080101,80,2008
20080102,8,2008
20080103,4,2008
20080104,1,2008
20080105,3,2008
20080106,5,2008
20080107,7,2008
20080108,11,2008
20080109,8,2008
20080110,3,2008
20080111,3,2008
20080112,5,2008
20080113,3,2008
20080114,8,2008
20080115,9,2008
20080116,1,2008
20080117,5,2008
20080118,6,2008
20080119,5,2008
20080120,4,2008
20080121,10,2008
20080122,12,2008
20080123,5,2008
20080124,4,2008
20080125,9,2008
20080126,5,2008
20080127,7,2008
20080128,8,2008
20080129,3,2008
20080130,9,2008
20080131,8,2008
20080201,27,2008
20080202,4,2008
20080203,2,2008
20080204,10,2008
20080205,9,2008
20080206,9,2008
20080207,6,2008
20080208,10,2008
20080209,7,2008
20080210,16,2008
20080211,6,2008
20080212,5,2008
20080213,4,2008
20080214,6,2008
20080215,11,2008
20080216,2,2008
20080217,3,2008
20080218,5,2008
20080219,7,2008
20080220,8,2008
20080221,7,2008
20080223,2,2008
20080224,5,2008
20080225,7,2008
20080226,8,2008
20080227,4,2008
20080228,8,2008
20080229,8,2008
20080301,42,2008
20080302,19,2008
20080303,7,2008
20080304,10,2008
20080305,7,2008
20080306,7,2008
20080307,4,2008
20080308,12,2008
20080309,6,2008
20080310,8,2008
20080311,4,2008
20080312,4,2008
20080313,4,2008
20080314,4,2008
20080315,8,2008
20080316,6,2008
20080317,9,2008
20080318,6,2008
20080319,7,2008
20080320,9,2008
20080321,4,2008
20080322,16,2008
20080323,8,2008
20080324,6,2008
20080325,3,2008
20080326,2,2008
20080327,4,2008
20080328,9,2008
20080329,3,2008
20080330,4,2008
20080331,14,2008
20080401,18,2008
20080402,3,2008
20080403,5,2008
20080404,5,2008
20080405,3,2008
20080406,7,2008
20080407,7,2008
20080408,3,2008
20080409,3,2008
20080410,7,2008
20080411,2,2008
20080412,3,2008
20080413,3,2008
20080414,4,2008
20080415,9,2008
20080416,4,2008
20080417,4,2008
20080418,3,2008
20080419,8,2008
20080420,5,2008
20080421,7,2008
20080422,7,2008
20080423,5,2008
20080424,7,2008
20080425,2,2008
20080426,2,2008
20080427,6,2008
20080428,6,2008
20080429,3,2008
20080430,5,2008
20080501,18,2008
20080502,3,2008
20080503,1,2008
20080504,5,2008
20080505,9,2008
20080506,9,2008
20080507,6,2008
20080508,4,2008
20080509,9,2008
20080510,1,2008
20080511,7,2008
20080512,5,2008
20080513,8,2008
20080514,4,2008
20080515,11,2008
20080516,3,2008
20080517,2,2008
20080518,11,2008
20080519,8,2008
20080520,1,2008
20080522,6,2008
20080523,6,2008
20080524,3,2008
20080525,2,2008
20080526,3,2008
20080527,9,2008
20080528,2,2008
20080529,7,2008
20080530,5,2008
20080531,4,2008
20080601,22,2008
20080602,5,2008
20080603,16,2008
20080604,2,2008
20080605,5,2008
20080606,11,2008
20080607,5,2008
20080608,8,2008
20080609,5,2008
20080610,7,2008
20080611,3,2008
20080612,3,2008
20080613,4,2008
20080614,2,2008
20080615,7,2008
20080616,7,2008
20080617,7,2008
20080618,5,2008
20080619,6,2008
20080620,3,2008
20080621,7,2008
20080622,8,2008
20080623,3,2008
20080624,7,2008
20080625,11,2008
20080626,11,2008
20080627,3,2008
20080628,18,2008
20080629,6,2008
20080630,6,2008
20080701,22,2008
20080702,3,2008
20080703,5,2008
20080704,3,2008
20080705,4,2008
20080706,9,2008
20080707,5,2008
20080708,2,2008
20080709,5,2008
20080710,9,2008
20080711,2,2008
20080712,5,2008
20080713,8,2008
20080714,13,2008
20080715,5,2008
20080716,3,2008
