,,2008,,,,2013-2014,,,,2017-2018,,,
PopTitle,Geography,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI,Estimate,StdErr,LowerCI,UpperCI
Total,United States,61.2,4.922,0,0,34.4,2.312,29.8,38.9,41.6,2.397,35,48.3
,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,
[1]: Target has been revised. See Data Details for more information.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,
"Retail Food Risk Factor Studies, CFSAN
",,,,,,,,,,,,,
,,,,,,,,,,,,,
Additional Footnotes:,,,,,,,,,,,,,
† Target is not applicable for this population group.,,,,,,,,,,,,,
§ This population group is not age adjusted.,,,,,,,,,,,,,
"DSU: Data do not meet the criteria for statistical reliability, data quality, or confidentiality.",,,,,,,,,,,,,
DNC: Data for specific population not collected.,,,,,,,,,,,,,
CI: 95% confidence interval.,,,,,,,,,,,,,
Data are subject to revision and may have changed since a previous release.,,,,,,,,,,,,,
"Unless noted otherwise, any age-adjusted data are adjusted using the year 2000 standard population.",,,,,,,,,,,,,
Data are not available or not collected for populations not shown.,,,,,,,,,,,,,
