"Year","Month","State","Illnesses","setting_new","Etiology_new"
2009,3,"Oregon",26,"restaurant","Salmonella"
2009,5,"Oregon",3,"restaurant","Salmonella"
2009,7,"Oregon",31,"restaurant","Norovirus"
2009,7,"Oregon",17,"restaurant","Norovirus"
2009,7,"Oregon",18,"caterer","Norovirus"
2009,8,"Oregon",21,"caterer","Other"
2009,2,"New York",13,"restaurant","Norovirus"
2009,4,"New York",40,"school","Norovirus"
2009,8,"Wisconsin",24,"other","Norovirus"
2009,6,"Michigan",20,"private residence","Other"
2009,6,"California",19,"restaurant","Norovirus"
2009,7,"Ohio",2,"other","Salmonella"
2009,7,"South Carolina",50,"caterer","Other"
2009,7,"New York",2,"private residence","Escherichia"
2009,7,"New York",3,"private residence","Escherichia"
2009,2,"Kansas",3,"restaurant","Norovirus"
2009,4,"Minnesota",2,"other","Salmonella"
2009,7,"Georgia",4,"restaurant","Norovirus"
2009,8,"New York",12,"restaurant","Salmonella"
2009,5,"Pennsylvania",2,"restaurant","Salmonella"
2009,7,"Georgia",11,"caterer","Campylobacter"
2009,7,"New Hampshire",31,"other","Norovirus"
2009,1,"Georgia",46,"restaurant","Norovirus"
2009,8,"Minnesota",3,"restaurant","Other"
2009,8,"Minnesota",6,"private residence","Escherichia"
2009,8,"Minnesota",3,"restaurant","Escherichia"
2009,8,"New York",2,"other","Escherichia"
2009,7,"Massachusetts",6,"restaurant","Salmonella"
2009,8,"Illinois",14,"restaurant","Other"
2009,7,"Tennessee",10,"restaurant","Salmonella"
2009,9,"Illinois",3,"office","Other"
2009,6,"Florida",4,"restaurant","Other"
2009,8,"Michigan",9,"restaurant","Salmonella"
2009,5,"Michigan",21,"restaurant","Salmonella"
2009,8,"Minnesota",2,"restaurant","Norovirus"
2009,9,"Minnesota",3,"restaurant","Other"
2009,7,"Oregon",12,"restaurant","Other"
2009,7,"Oregon",8,"restaurant","Norovirus"
2009,5,"Florida",13,"other","Other"
2009,9,"Ohio",6,"restaurant","Norovirus"
2009,7,"Virginia",19,"restaurant","Salmonella"
2009,1,"California",5,"restaurant","Norovirus"
2009,3,"California",10,"restaurant","Norovirus"
2009,1,"Virginia",11,"private residence","Salmonella"
2009,9,"Illinois",17,"restaurant","Salmonella"
2009,6,"Washington",3,"private residence","Other"
2009,9,"Connecticut",9,"restaurant","Salmonella"
2009,8,"Kansas",39,"restaurant","Other"
2009,8,"Kansas",33,"restaurant","Salmonella"
2009,6,"Kansas",17,"restaurant","Other"
2009,5,"Kansas",6,"restaurant","Norovirus"
2009,1,"Ohio",8,"private residence","Other"
2009,3,"Ohio",2,"restaurant","Norovirus"
2009,8,"Ohio",11,"private residence","Escherichia"
2009,8,"Ohio",2,"other","Salmonella"
2009,8,"Michigan",14,"restaurant","Salmonella"
2009,9,"Illinois",4,"restaurant","Escherichia"
2009,9,"Illinois",15,"other","Salmonella"
2009,8,"Maryland",27,"private residence","Salmonella"
2009,9,"Ohio",10,"restaurant","Norovirus"
2009,10,"Illinois",19,"restaurant","Other"
2009,9,"Tennessee",13,"restaurant","Salmonella"
2009,6,"Tennessee",5,"private residence","Salmonella"
2009,10,"Minnesota",27,"restaurant","Norovirus"
2009,8,"New York",10,"other","Salmonella"
2009,10,"New York",23,"restaurant","Norovirus"
2009,3,"California",9,"restaurant","Norovirus"
2009,6,"Oregon",2,"private residence","Salmonella"
2009,11,"Minnesota",5,"restaurant","Norovirus"
2009,8,"Colorado",5,"restaurant","Other"
2009,5,"Colorado",3,"restaurant","Escherichia"
2009,8,"Colorado",28,"caterer","Other"
2009,6,"Wisconsin",7,"restaurant","Other"
2009,2,"California",7,"restaurant","Norovirus"
2009,2,"California",20,"restaurant","Norovirus"
2009,8,"California",16,"other","Salmonella"
2009,1,"Colorado",40,"caterer","Norovirus"
2009,7,"Colorado",45,"other","Norovirus"
2009,3,"Texas",3,"restaurant","Norovirus"
2009,11,"Minnesota",4,"restaurant","Norovirus"
2009,8,"Pennsylvania",5,"private residence","Salmonella"
2009,9,"Pennsylvania",12,"restaurant","Salmonella"
2009,10,"North Dakota",36,"restaurant","Other"
2009,8,"California",6,"restaurant","Campylobacter"
2009,11,"Maryland",12,"caterer","Escherichia"
2009,10,"Michigan",5,"restaurant","Salmonella"
2009,11,"Minnesota",29,"restaurant","Norovirus"
2009,11,"Tennessee",36,"restaurant","Norovirus"
2009,9,"New York",6,"private residence","Salmonella"
2009,11,"Minnesota",19,"private residence","Salmonella"
2009,12,"Pennsylvania",4,"restaurant","Other"
2009,5,"Kansas",2,"restaurant","Salmonella"
2009,10,"Kansas",4,"restaurant","Norovirus"
2009,12,"Ohio",4,"restaurant","Norovirus"
2009,12,"New York",10,"restaurant","Other"
2009,12,"New York",37,"restaurant","Norovirus"
2009,12,"New York",20,"caterer","Norovirus"
2009,12,"Wisconsin",16,"caterer","Norovirus"
2009,10,"New York",5,"restaurant","Salmonella"
2009,4,"Florida",17,"caterer","Norovirus"
2009,12,"Kansas",14,"restaurant","Norovirus"
2009,1,"Florida",11,"restaurant","Norovirus"
2009,1,"Florida",3,"restaurant","Norovirus"
2009,6,"Washington",4,"other","Salmonella"
2009,11,"South Carolina",8,"private residence","Norovirus"
2009,12,"Ohio",9,"caterer","Other"
2009,12,"South Carolina",9,"restaurant","Norovirus"
2009,4,"Washington",10,"restaurant","Norovirus"
2009,2,"Florida",5,"restaurant","Norovirus"
2009,11,"Ohio",4,"restaurant","Norovirus"
2009,11,"Georgia",17,"private residence","Salmonella"
2009,12,"Connecticut",6,"restaurant","Norovirus"
2009,11,"Missouri",6,"private residence","Salmonella"
2009,12,"New York",2,"restaurant","Other"
2009,7,"Colorado",6,"private residence","Other"
2009,2,"Georgia",3,"restaurant","Norovirus"
2009,12,"Minnesota",6,"restaurant","Norovirus"
2010,1,"Minnesota",27,"private residence","Norovirus"
2009,1,"Florida",2,"restaurant","Other"
2009,1,"Florida",2,"restaurant","Other"
2009,1,"Florida",6,"restaurant","Norovirus"
2009,1,"Florida",2,"restaurant","Other"
2009,1,"Florida",2,"restaurant","Other"
2009,2,"Florida",2,"restaurant","Other"
2009,1,"Florida",2,"restaurant","Other"
2009,2,"Florida",6,"restaurant","Other"
